emp_title,emp_length,home_ownership,annual_inc,verification_status,addr_state,avg_cur_bal,Tot_cur_bal,loan_status,loan_amount,state,funded_amount,term,int_rate,installment,grade,pymnt_plan,type,purpose,description
Juvenile Court Counselor,5 years,MORTGAGE,40000,Source Verified,NC,11037,121406,Fully Paid,4000,NC,4000, 36 months,0.1398,136.67999,C,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Managing partner,10+ years,MORTGAGE,95000,Source Verified,FL,24924,249235,Fully Paid,10000,FL,10000, 36 months,0.1465,344.95001,C,false,Individual,debt_consolidation,Debt consolidation
U.S Army,6 years,RENT,43000,Source Verified,NC,657,3944,Fully Paid,6500,NC,6500, 36 months,0.079,203.39,A,false,INDIVIDUAL,debt_consolidation,Consolidation
Supervisor,1 year,MORTGAGE,51000,Source Verified,CA,24400,244002,Fully Paid,4500,CA,4500, 36 months,0.1797,162.62,D,false,Individual,other,Other
Project Lead,< 1 year,MORTGAGE,58125,Source Verified,MO,23418,257599,Current,9000,MO,9000, 36 months,0.1308,303.60001,B,false,Individual,debt_consolidation,Debt consolidation
Concierge,< 1 year,RENT,35360,Source Verified,CA,7225,36127,Current,1200,CA,1200, 36 months,0.225,46.139999,D,false,Individual,debt_consolidation,Debt consolidation
Health Physics Technician,< 1 year,MORTGAGE,60000,Verified,LA,35704,249930,Fully Paid,20000,LA,20000, 36 months,0.1199,664.20001,B,false,Individual,debt_consolidation,Debt consolidation
Engineering Manager,10+ years,RENT,105000,Source Verified,CA,2327,32583,Charged Off,20000,CA,20000, 36 months,0.1144,658.95001,B,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Implementation Consultant,3 years,OWN,95000,Not Verified,FL,4480,67207,Current,17000,FL,17000, 36 months,0.0721,526.54999,A,false,Individual,credit_card,Credit card refinancing
Inside Sales,< 1 year,MORTGAGE,80000,Not Verified,SC,10743,118175,Current,20000,SC,20000, 36 months,0.0881,634.22998,A,false,Individual,credit_card,Credit card refinancing
PRASIDANT,10+ years,OWN,127000,Source Verified,NC,4458,80244,Late (31-120 days),27600,NC,27600, 60 months,0.0818,562.01001,B,false,Individual,credit_card,Credit card refinancing
Production Assistant,4 years,RENT,42000,Source Verified,UT,1224,3672,Current,6400,UT,6400, 36 months,0.1449,220.27,C,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Driver,10+ years,MORTGAGE,50000,Source Verified,LA,21175,148227,Fully Paid,12000,LA,12000, 36 months,0.1299,404.26999,B,false,INDIVIDUAL,debt_consolidation,Consolidated loan
Senior HR Administrator,10+ years,MORTGAGE,67500,Verified,PA,21845,174758,Current,5000,PA,5000, 36 months,0.1399,170.87,C,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Auto Body Technician,10+ years,MORTGAGE,51000,Verified,VA,53819,376733,Current,25500,VA,25500, 36 months,0.1288,857.72998,C,false,INDIVIDUAL,home_improvement,Home improvement
Teacher,10+ years,MORTGAGE,104000,Not Verified,NY,35779,500903,Current,20000,NY,20000, 36 months,0.0721,619.46997,A,false,Joint App,home_improvement,Home improvement
Payroll,2 years,MORTGAGE,50000,Verified,CA,24111,289337,Fully Paid,16125,CA,16125, 36 months,0.1629,569.21997,D,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Telecommunications Analyst ,7 years,MORTGAGE,59700,Verified,MD,34382,240675,Current,18775,MD,18775, 60 months,0.1709,467.51999,D,false,Individual,credit_card,Credit card refinancing
Vehicle Admin Supervisor,10+ years,OWN,85000,Verified,NJ,2763,52496,Fully Paid,15000,NJ,15000, 60 months,0.1699,372.70999,D,false,Individual,home_improvement,Home improvement
teacher,10+ years,MORTGAGE,78000,Not Verified,CO,17389,243443,Current,32000,CO,32000, 60 months,0.124,718.31,B,false,Individual,other,Other
Account Manager,< 1 year,RENT,60000,Not Verified,MN,7960,39802,Current,10500,MN,10500, 36 months,0.1298,353.69,B,false,Individual,debt_consolidation,Debt consolidation
Legal Assistant,1 year,RENT,39000,Source Verified,NY,8766,105189,Current,10000,NY,10000, 60 months,0.1358,230.52,C,false,Individual,debt_consolidation,Debt consolidation
Respiratory Therapist,8 years,OWN,90000,Source Verified,IL,73152,438912,Current,32600,IL,32600, 36 months,0.1149,1074.87,B,false,INDIVIDUAL,home_improvement,Home improvement
Senior IT Analyst,5 years,MORTGAGE,60000,Source Verified,FL,12106,205797,Current,40000,FL,40000, 36 months,0.0646,1225.24,A,false,Joint App,credit_card,Credit card refinancing
News producer,10+ years,RENT,52000,Not Verified,TX,4321,51851,Charged Off,15000,TX,15000, 36 months,0.1149,494.57001,B,false,Individual,debt_consolidation,Debt consolidation
Partner,3 years,RENT,174000,Source Verified,MS,6005,42036,Current,30000,MS,30000, 36 months,0.1149,989.14001,B,false,Individual,small_business,Business
Manager ,4 years,RENT,55000,Source Verified,TX,7037,84447,Current,10000,TX,10000, 36 months,0.0993,322.35001,B,false,Individual,debt_consolidation,Debt consolidation
Loan Administrator ,10+ years,MORTGAGE,60000,Source Verified,CA,2156,30177,Current,20000,CA,20000, 60 months,0.1504,476.22,C,false,Individual,debt_consolidation,Debt consolidation
Nursing assistant/instructor,7 years,RENT,40000,Source Verified,NY,2541,7622,Current,10000,NY,10000, 36 months,0.0667,307.26999,A,false,Individual,credit_card,Credit card refinancing
Relationship manager,4 years,MORTGAGE,55000,Not Verified,CO,14415,158562,Fully Paid,8250,CO,8250, 36 months,0.0839,260.01999,A,false,INDIVIDUAL,debt_consolidation,Debt consolidation
home health aide,1 year,RENT,30000,Source Verified,NY,2652,39780,Fully Paid,4200,NY,4200, 36 months,0.1259,140.69,C,false,Individual,debt_consolidation,Debt consolidation
Enginerr,10+ years,OWN,180000,Not Verified,CO,30603,336636,Current,3500,CO,3500, 36 months,0.0646,107.21,A,false,Individual,home_improvement,Home improvement
cook,8 years,MORTGAGE,25000,Not Verified,IN,13562,81369,Fully Paid,4200,IN,4200, 36 months,0.1269,140.89,C,false,Individual,credit_card,Credit card refinancing
Owner,10+ years,RENT,65000,Not Verified,CO,1031,3093,Current,15000,CO,15000, 60 months,0.1359,345.85001,C,false,Individual,debt_consolidation,Debt consolidation
Project Analyst,< 1 year,RENT,75000,Source Verified,FL,5616,73012,Fully Paid,8000,FL,8000, 36 months,0.0999,258.10001,B,false,Individual,credit_card,Credit card refinancing
Coding Specialist,10+ years,MORTGAGE,43000,Source Verified,WA,8458,101490,Fully Paid,8400,WA,8400, 36 months,0.1416,287.75,C,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Principal Software Engineer,3 years,RENT,168600,Source Verified,VA,8622,60352,Current,40000,VA,40000, 36 months,0.0949,1281.14,B,false,INDIVIDUAL,credit_card,Credit card refinancing
owner,7 years,RENT,90000,Source Verified,OH,1504,27077,Fully Paid,10000,OH,10000, 36 months,0.1299,336.89999,C,false,Individual,debt_consolidation,Debt consolidation
driver,3 years,RENT,27000,Source Verified,VA,2541,15247,Current,7200,VA,7200, 36 months,0.1549,251.33,C,false,Individual,other,Other
PPS Coordinator,6 years,RENT,81000,Not Verified,IL,3423,47919,Current,10000,IL,10000, 36 months,0.0746,310.88,A,false,Individual,credit_card,Credit card refinancing
Senior technical managwr,10+ years,MORTGAGE,80000,Verified,GA,4336,99736,Fully Paid,6000,GA,6000, 36 months,0.1274,201.42,C,false,Individual,other,Other
Security Gaurd Supervisor ,3 years,RENT,39078,Source Verified,NY,2492,22431,Current,10625,NY,10625, 36 months,0.1797,383.95999,D,false,Individual,debt_consolidation,Debt consolidation
Care Coordinator,1 year,MORTGAGE,55000,Source Verified,IN,15796,189551,Current,6000,IN,6000, 36 months,0.1349,203.59,C,false,INDIVIDUAL,credit_card,Credit card refinancing
owner,4 years,RENT,141000,Not Verified,ID,2887,43299,Current,25000,ID,25000, 36 months,0.1531,870.44,C,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Groupleader,10+ years,RENT,55000,Verified,MI,1402,42047,Current,9600,MI,9600, 36 months,0.1399,328.06,C,false,INDIVIDUAL,other,Other
Executive Director ,10+ years,OWN,150000,Not Verified,AL,1970,27582,Current,20000,AL,20000, 60 months,0.0881,413.32999,A,false,Individual,debt_consolidation,Debt consolidation
Bookkeeper ,10+ years,RENT,42525,Source Verified,KY,3585,32263,Charged Off,10000,KY,10000, 36 months,0.1709,356.98001,D,false,Individual,debt_consolidation,Debt consolidation
Warehouse worker,5 years,RENT,49000,Source Verified,VA,4659,41931,Fully Paid,8000,VA,8000, 36 months,0.0818,251.36,B,false,Individual,debt_consolidation,Debt consolidation
Field service engineer,< 1 year,RENT,65000,Verified,IL,3183,15916,Current,15000,IL,15000, 60 months,0.1359,345.85001,C,false,Individual,moving,Moving and relocation
Director,2 years,MORTGAGE,63000,Not Verified,KY,3058,67274,Current,10500,KY,10500, 60 months,0.1727,262.48001,D,false,INDIVIDUAL,credit_card,Credit card refinancing
SUPERVISOR,10+ years,MORTGAGE,80000,Not Verified,TN,14755,132791,Current,10625,TN,10625, 36 months,0.0819,333.89001,A,false,Individual,debt_consolidation,Debt consolidation
forman,3 years,MORTGAGE,75000,Source Verified,PA,32344,194064,Current,20000,PA,20000, 36 months,0.0749,622.03998,A,false,INDIVIDUAL,credit_card,Credit card refinancing
Partner,8 years,MORTGAGE,275000,Verified,TX,35543,675319,Current,25000,TX,25000, 36 months,0.0699,771.82001,A,false,INDIVIDUAL,debt_consolidation,Debt consolidation
RF TECHNICIAN V,3 years,MORTGAGE,65000,Source Verified,CA,42002,252010,Fully Paid,10000,CA,10000, 36 months,0.0689,308.26999,A,false,Individual,credit_card,Credit card refinancing
bellman,10+ years,RENT,50000,Source Verified,NY,3479,34790,Fully Paid,6000,NY,6000, 36 months,0.0799,188,A,false,Individual,credit_card,Credit card refinancing
Air Marshal,10+ years,MORTGAGE,108000,Verified,PA,26952,269523,Fully Paid,30000,PA,30000, 60 months,0.1367,692.92999,C,false,INDIVIDUAL,debt_consolidation,Debt consolidation
cook,10+ years,RENT,55000,Not Verified,CA,3732,22394,Fully Paid,3000,CA,3000, 36 months,0.1561,104.9,C,false,INDIVIDUAL,other,Other
President,10+ years,MORTGAGE,80000,Source Verified,MA,24185,290222,Fully Paid,20000,MA,20000, 60 months,0.1349,460.10001,C,false,Individual,small_business,Business
IT Specialist,8 years,MORTGAGE,210000,Source Verified,VA,31959,511348,Fully Paid,4700,VA,4700, 36 months,0.1797,169.85001,D,false,Individual,debt_consolidation,Debt consolidation
Welder/Fabricator,2 years,RENT,65000,Not Verified,NY,4345,21725,Current,15000,NY,15000, 60 months,0.1942,392.59,D,false,Individual,credit_card,Credit card refinancing
Housing navigator,1 year,MORTGAGE,68400,Source Verified,WI,6264,137815,Current,16000,WI,16000, 36 months,0.1199,531.35999,C,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Cartographic Technician,3 years,MORTGAGE,41000,Not Verified,FL,8836,61855,Current,16000,FL,16000, 60 months,0.1408,372.95999,C,false,Joint App,debt_consolidation,Debt consolidation
Sales/Artist devolpment,1 year,MORTGAGE,72000,Verified,SC,6855,123386,Charged Off,25000,SC,25000, 60 months,0.1855,642.34003,E,false,Individual,debt_consolidation,Debt consolidation
executive general manager,10+ years,MORTGAGE,102000,Source Verified,NM,16687,200238,Charged Off,16750,NM,16750, 36 months,0.0819,526.35999,A,false,Individual,debt_consolidation,Debt consolidation
Manager,10+ years,MORTGAGE,100000,Not Verified,WA,60274,542468,Current,35000,WA,35000, 60 months,0.1601,851.32001,C,false,Individual,credit_card,Credit card refinancing
Foreman,10+ years,RENT,70000,Verified,MI,1308,7848,Current,6000,MI,6000, 36 months,0.0944,192.03,B,false,Individual,other,Other
Benefits Counselor,4 years,MORTGAGE,54682,Verified,KY,13058,195865,Current,9600,KY,9600, 36 months,0.1449,330.39999,C,false,INDIVIDUAL,credit_card,Credit card refinancing
Client Service Specialist,7 years,RENT,49000,Not Verified,TX,9237,92365,Fully Paid,10750,TX,10750, 60 months,0.1757,270.48001,D,false,Individual,debt_consolidation,Debt consolidation
Raven's Place LLC,4 years,MORTGAGE,65000,Verified,IL,25738,463291,Fully Paid,20000,IL,20000, 36 months,0.1114,656.10999,B,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Sr Director Quality Assurance ,3 years,MORTGAGE,120000,Verified,CO,29390,382067,Fully Paid,24000,CO,24000, 36 months,0.0624,732.73999,A,false,Individual,debt_consolidation,Debt consolidation
F&A Specialist,9 years,MORTGAGE,52000,Source Verified,GA,30457,152284,Current,3025,GA,3025, 36 months,0.1727,108.26,D,false,INDIVIDUAL,home_improvement,Home improvement
Truck Driver,10+ years,MORTGAGE,55000,Not Verified,IL,8442,101302,Current,10000,IL,10000, 60 months,0.225,279.04001,D,false,Individual,debt_consolidation,Debt consolidation
Accounts Payable,3 years,OWN,46000,Source Verified,NC,2224,13344,Current,11000,NC,11000, 36 months,0.124,367.47,B,false,Individual,debt_consolidation,Debt consolidation
QA Manager,< 1 year,MORTGAGE,115000,Source Verified,IL,21678,390206,Current,10500,IL,10500, 36 months,0.1078,342.67001,B,false,INDIVIDUAL,credit_card,Credit card refinancing
Branch Manager,10+ years,RENT,100000,Verified,CA,1581,11067,Fully Paid,18000,CA,18000, 36 months,0.0967,578.03003,B,false,INDIVIDUAL,debt_consolidation,Lending Club
owner,10+ years,RENT,125000,Not Verified,TX,1590,23845,Fully Paid,12800,TX,12800, 36 months,0.0532,385.47,A,false,Individual,debt_consolidation,Debt consolidation
Clerk,4 years,MORTGAGE,90000,Source Verified,PA,5459,103716,Current,2500,PA,2500, 36 months,0.1106,81.919998,B,false,Joint App,major_purchase,Major purchase
New York City,8 years,RENT,115000,Verified,NY,7125,35626,Fully Paid,20000,NY,20000, 60 months,0.1678,494.69,C,false,INDIVIDUAL,credit_card,Credit Card Loan
Inventory Manager,3 years,RENT,60000,Source Verified,UT,5960,71525,Current,24300,UT,24300, 60 months,0.288,768.38,D,false,Individual,debt_consolidation,Debt consolidation
Sales Office Manager,10+ years,MORTGAGE,121200,Source Verified,CA,80476,643808,Current,3500,CA,3500, 36 months,0.1274,117.5,C,false,Individual,home_improvement,Home improvement
Sr. Software Engineer,7 years,RENT,120000,Source Verified,CA,9453,66173,Fully Paid,22400,CA,22400, 36 months,0.0818,703.79999,B,false,Individual,debt_consolidation,Debt consolidation
Washer Operator,10+ years,RENT,73000,Not Verified,AR,4926,73897,Current,25000,AR,25000, 60 months,0.1407,582.62,C,false,Individual,credit_card,Credit card refinancing
catering/line cook,10+ years,RENT,27000,Source Verified,NY,2142,17132,Charged Off,5000,NY,5000, 36 months,0.0649,153.23,A,false,Individual,credit_card,Credit card refinancing
Geologist,6 years,OWN,90000,Not Verified,TX,54127,216506,Current,8000,TX,8000, 36 months,0.0784,250.11,A,false,Individual,credit_card,Credit card refinancing
Head teacher,3 years,RENT,13000,Not Verified,NY,2266,36260,Current,3750,NY,3750, 36 months,0.1449,129.07001,C,false,INDIVIDUAL,credit_card,Credit card refinancing
Accounting Department,6 years,MORTGAGE,55000,Source Verified,FL,3236,19418,Current,20000,FL,20000, 36 months,0.1449,688.33002,C,false,INDIVIDUAL,debt_consolidation,Debt consolidation
foreman,5 years,RENT,68000,Verified,CO,3585,39430,Fully Paid,17600,CO,17600, 36 months,0.079,550.71002,A,false,INDIVIDUAL,credit_card,freedom
Chiropractic assistant,2 years,MORTGAGE,20000,Source Verified,OH,12328,61641,Current,20000,OH,20000, 36 months,0.1199,664.20001,B,false,Joint App,debt_consolidation,Debt consolidation
MPA Inc,5 years,MORTGAGE,100000,Not Verified,CA,32800,262403,Fully Paid,13600,CA,13600, 36 months,0.089,431.85001,A,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Project Manager,2 years,MORTGAGE,175000,Source Verified,GA,22062,352990,Fully Paid,13000,GA,13000, 60 months,0.1786,329.13,D,false,Individual,debt_consolidation,Debt consolidation
Marketing Manager,4 years,RENT,85000,Not Verified,CA,1174,21129,Current,12000,CA,12000, 36 months,0.0532,361.38,A,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Valet,< 1 year,RENT,50000,Not Verified,FL,1347,14813,In Grace Period,10000,FL,10000, 60 months,0.0667,196.46001,A,false,Individual,credit_card,Credit card refinancing
Financial Specialist,10+ years,OWN,74000,Not Verified,DC,5176,67298,Current,15000,DC,15000, 36 months,0.0734,465.5,A,false,Individual,debt_consolidation,Debt consolidation
Lead IT Specialist,10+ years,MORTGAGE,95000,Verified,OH,10013,180250,Current,35000,OH,35000, 60 months,0.2291,984.85999,E,false,Individual,debt_consolidation,Debt consolidation
Radiology Technologist ,10+ years,MORTGAGE,105000,Source Verified,CA,66305,663050,Current,10000,CA,10000, 36 months,0.1273,335.64999,B,false,Joint App,debt_consolidation,Debt consolidation
Administrative Coordinator,10+ years,RENT,39754,Source Verified,NC,1736,13891,Current,7000,NC,7000, 36 months,0.0649,214.52,A,false,INDIVIDUAL,debt_consolidation,Debt consolidation
software analyst,10+ years,MORTGAGE,60000,Source Verified,IL,12239,97910,Current,16000,IL,16000, 60 months,0.2149,437.28,D,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Customer service rep.,4 years,RENT,30000,Source Verified,NJ,2200,17599,Fully Paid,11000,NJ,11000, 60 months,0.1561,265.23001,D,false,INDIVIDUAL,credit_card,Credit card refinancing
Realtor,2 years,RENT,80000,Source Verified,CA,3715,14860,Current,7000,CA,7000, 36 months,0.1903,256.70001,D,false,Individual,other,Other
Driver ,10+ years,MORTGAGE,70000,Source Verified,FL,19560,234721,Current,5000,FL,5000, 36 months,0.1139,164.62,B,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Telecommunications Technician,10+ years,MORTGAGE,68200,Not Verified,CA,10046,130593,Fully Paid,12000,CA,12000, 36 months,0.0762,373.94,A,false,INDIVIDUAL,credit_card,Credit card consolidation
Route manager ,10+ years,MORTGAGE,47000,Not Verified,ID,13786,124073,Current,16000,ID,16000, 60 months,0.1531,383.25,C,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Customer service representative ,1 year,RENT,32640,Verified,MN,2582,46472,Current,8000,MN,8000, 36 months,0.1699,285.19,D,false,Individual,debt_consolidation,Debt consolidation
Account Manager,1 year,RENT,50000,Verified,CA,3624,32612,Fully Paid,5000,CA,5000, 36 months,0.1399,170.87,C,false,Individual,credit_card,Credit card refinancing
Forming,3 years,MORTGAGE,68000,Not Verified,TX,9701,58204,Current,16000,TX,16000, 60 months,0.1799,406.20999,D,false,INDIVIDUAL,debt_consolidation,Debt consolidation
HR Business Partner,9 years,MORTGAGE,95000,Not Verified,CA,16071,369625,Fully Paid,20000,CA,20000, 36 months,0.1153,659.81,B,false,Individual,debt_consolidation,Debt consolidation
Deputy,10+ years,MORTGAGE,110000,Not Verified,CA,66542,332708,Current,7000,CA,7000, 36 months,0.0702,216.21001,A,false,Individual,car,Car financing
Special Education Teacher,2 years,RENT,50000,Not Verified,IL,4977,34842,Fully Paid,6000,IL,6000, 36 months,0.1498,207.94,C,false,INDIVIDUAL,debt_consolidation,Debt Consolidation
Owner,10+ years,MORTGAGE,32500,Not Verified,OH,2057,12340,Current,10600,OH,10600, 36 months,0.1149,349.5,B,false,INDIVIDUAL,credit_card,Credit card refinancing
sales,4 years,MORTGAGE,70000,Source Verified,PA,22611,452221,Current,10000,PA,10000, 36 months,0.1102,327.48999,B,false,Individual,debt_consolidation,Debt consolidation
IT Manager,4 years,MORTGAGE,175000,Source Verified,CO,22259,333881,Fully Paid,22000,CO,22000, 36 months,0.0689,678.20001,A,false,Individual,debt_consolidation,Debt consolidation
Regional Director of Sales & Marketing,7 years,MORTGAGE,130000,Verified,CO,18335,403367,Current,35000,CO,35000, 60 months,0.2235,973.64001,D,false,Individual,debt_consolidation,Debt consolidation
IT Assets Administrator,7 years,OWN,52000,Not Verified,OH,11221,112211,Fully Paid,1000,OH,1000, 36 months,0.1171,33.080002,B,false,Individual,other,Other
Sales and marketing manager,3 years,OWN,89000,Source Verified,SC,3251,42266,Current,12000,SC,12000, 60 months,0.139,278.60001,C,false,Individual,other,Other
Engineer,4 years,RENT,149000,Verified,CA,2971,41594,Current,34000,CA,34000, 36 months,0.098,1093.9,B,false,INDIVIDUAL,debt_consolidation,Debt consolidation
merchandiser,6 years,OWN,31000,Source Verified,CO,20361,122168,Fully Paid,8100,CO,8100, 36 months,0.1299,272.89001,C,false,INDIVIDUAL,debt_consolidation,Debt consolidation
senior graphic designer,3 years,RENT,70000,Not Verified,MA,2256,22557,Charged Off,10000,MA,10000, 36 months,0.1199,332.10001,B,false,Individual,major_purchase,Major purchase
Furniture Showroom Coordinator,3 years,MORTGAGE,36000,Source Verified,MO,11393,91141,Fully Paid,5000,MO,5000, 36 months,0.1033,162.12,B,false,Individual,debt_consolidation,Debt consolidation
Buyer,6 years,RENT,92000,Not Verified,OH,17800,35599,Current,19000,OH,19000, 36 months,0.0646,581.98999,A,false,Individual,credit_card,Credit card refinancing
